Comments,textprimary,hastextaligncenter
Excellent company! Quick improvement to community.,"Ali H., Myrtle Beach SC",Excellent company!
I moved to Treyburn subdivision last June and I was in contact with our property manager. She has always been prompt in responding to all my concerns and has always followed through with everything I have requested. This is the first time in many years that I have had an HOA manager be proactive with neighborhood concerns.,"Janet G., Greenville SC",She has always been prompt in responding to all my concerns and has always followed through with everything I have requested.
Bayfield HOA has been a client of William Douglas for over a decade now and they have worked very hard for our community. They are very professional and have done our community well… Our association manager is amazing and works tirelessly to keep our community running smoothly.,"Noah B., Charleston SC",They are very professional and have done our community well… 
I live in one of the developments that this company manages. They are very professional and work with the community. I have worked with them as a homeowner and a board member and they work hard to work with the city and the homeowners.,"Matthew S., Mooresville NC",They are very professional and work with the community.
Spence HOA has been utilizing WDM for several years and their teams are exceptionally professional. Our management representative is incredibly responsive and has often responded long beyond office hours. The management team relieves the Board members of many of the frustrating administrative problems. Thank you for all that you have done for us. You have gone above and beyond.,"Chorl T., Columbia SC",Our management representative is incredibly responsive and has often responded long beyond office hours. 
"The best decision this community has made in recent years was to sign with William Douglas Management. Previously, under different management, this community was in decline, both in terms of aesthetics and financials. In just a few years under William Douglas Management, our community’s appearance has changed dramatically from one of decay to one of beauty and charm. Our financials have improved thanks to our association manager, who quickly addresses any delinquencies and keeps a close eye on our vendors to ensure we are getting the services we contract for. They use an excellent software package that keeps accurate records of financials and provides us a user- friendly website for homeowners to have easy access to association documents and records. Our association manager promptly addresses all issues as they arise and responds in a timely fashion to all of our inquiries. Under their management, our property values have gone up dramatically!!","Peggy L., Charleston SC","In just a few years under William Douglas Management, our community’s appearance has changed dramatically from one of decay to one of beauty and charm."
"Our association manager is a great help to the association. She responds to, informs, and educates the owners, supervises contractors, and handles difficult people with professionalism.","Hetty L., Raleigh NC",Our association manager is a great help to the association
"Our HOA has worked with our William Douglas Management association manager for the last three years. She has made each of our jobs so much more pleasant and workable. She is the epitome of professionalism and always answers every question we have in a thorough, well-researched manner… We could not be more pleased!","Patricia B., Columbia SC",
Our association manager is one of the most thorough and professional property managers we have had the pleasure of working with. Our contact in the accounting department is amazing. Always very responsive and helpful and gets any issue resolved in a timely manner. Great team at William Douglas!,"Dara W., Charlotte NC",Our contact in the accounting department is amazing.
"Our association has been working with this management company for over a year. I joined our board almost a year ago. Our HOA’s property manager is very well organized and manages to get things done for Victoria Station Association. We are very satisfied with the level of interaction, communication, and the speed at which things are getting accomplished…","John R., Myrtle Beach SC",
"Wow! Could not ask for a better person to help with anything we needed when we bought our condo. Our association manager …has always gone out of her way to help us. From the beginning, when we needed things fixed, she was on the spot with getting estimates and worked with us until everything was completed. She not only is efficient but a great communicator with our phone calls answered promptly. Definitely a 10/10.","Vicki M., Greensboro NC",Wow! 
"I have been on the board at Wyndham Place for a few years now. Any time we have a problem, the person overseeing our development has been quick to respond and notifies the person who is responsible for fixing it. Our representative is very knowledgeable and helps us make wise decisions. She is available for board meetings, walk-throughs, and stays on top of our financials.","Donna K., Greenville SC","Any time we have a problem, the person overseeing our development has been quick to respond and notifies the person who is responsible for fixing it."
William Douglas Management is our property management company and they are wonderful! Our association manager is on top of maintenance and any other requests we have. I would recommend them highly!,"Nanna B., Hendersonville, NC",Our association manager is on top of maintenance and any other requests we have.
"This is my first time owning a condo. The situation the community was in before William Douglas Management took over was deplorable — trash dumped on a curb (this is still happening, but it is now being picked up weekly), owners in arrears for thousands of dollars, no one to talk to, etc. Now we are catching up on those who owe so that some major repairs can be made… A message to our association manager with a picture of the problem always gets a quick response. When so many different people live in a community together, there will always be those who care and those who do not… We are in a better place since William Douglas Management.","Cynthia H., Charleston SC",Now we are catching up on those who owe so that some major repairs can be made… 
Excellent company! Quick improvement to community.,"Ali H., Myrtle Beach SC",Excellent company!
I moved to Treyburn subdivision last June and I was in contact with our property manager. She has always been prompt in responding to all my concerns and has always followed through with everything I have requested. This is the first time in many years that I have had an HOA manager be proactive with neighborhood concerns.,"Janet G., Greenville SC",She has always been prompt in responding to all my concerns and has always followed through with everything I have requested.
Bayfield HOA has been a client of William Douglas for over a decade now and they have worked very hard for our community. They are very professional and have done our community well… Our association manager is amazing and works tirelessly to keep our community running smoothly.,"Noah B., Charleston SC",They are very professional and have done our community well… 
I live in one of the developments that this company manages. They are very professional and work with the community. I have worked with them as a homeowner and a board member and they work hard to work with the city and the homeowners.,"Matthew S., Mooresville NC",They are very professional and work with the community.
